ML#,City,Zip Code,List Price,Original List Price,Close Price,Legal Subdivision,Status,Date Quarter,Close Date,DOMM,DOMP,Baths All,Bedrooms,Condo Coop Fee,HOA Fee,Lot Sqft,Total Square Footage,Type,Parking,Has Garage
MC8200906,BETHESDA,20817,1225000,1225000,1175000,BURNING TREE VALLEY,SOLD,1,1/1/2014,4,4,3,3,,,37967,3256,Detached,Garage,TRUE
MC8213886,BETHESDA,20817,799000,799000,799000,COHASSET,SOLD,1,1/2/2014,13,13,3,4,,,10414,0,Detached,"Drvwy/Off Str, Garage",TRUE
MC8200154,GARRETT PARK,20896,759900,759900,720000,GARRETT PARK,SOLD,1,1/2/2014,39,39,2,4,,,6667,0,Detached,"Paved Driveway, Street",FALSE
MC8211706,GAITHERSBURG,20877,595000,595000,565000,MONTGOMERY VILL A-Z,SOLD,1,1/2/2014,35,70,5,4,,165,10323,0,Detached,"Garage, Drvwy/Off Str, Paved Driveway",TRUE
MC8210090,GERMANTOWN,20874,565000,565000,560000,CLOPPERS MILL WEST,SOLD,1,1/2/2014,9,9,4,4,,48.5,8318,0,Detached,Garage,TRUE
MC8173630,GAITHERSBURG,20878,559900,579000,555000,KENTLANDS HILL DISTRICT,SOLD,1,1/2/2014,52,54,3,4,,110,2000,2650,Townhouse,Garage,TRUE
MC8232773,TAKOMA PARK,20912,539900,539900,535000,TAKOMA PARK,SOLD,1,1/2/2014,3,3,2,3,,,4775,0,Detached,"Garage, Drvwy/Off Str",TRUE
MC8198478,ROCKVILLE,20855,447500,447500,427500,OLNEY OUT RES (2),SOLD,1,1/2/2014,71,71,3,4,,,33599,2530,Detached,"Drvwy/Off Str, Garage",TRUE
MC8195720,ROCKVILLE,20852,425000,450000,415000,MONTROSE PARK,SOLD,1,1/2/2014,25,32,2,4,,,7800,0,Detached,Drvwy/Off Str,FALSE
MC8174395,CLARKSBURG,20871,409990,422990,411630,,SOLD,1,1/2/2014,52,52,4,3,,76,1400,2120,Townhouse,Garage,TRUE
MC9003212,POTOMAC,20854,299000,309000,293000,RIVER FALLS CODM,SOLD,1,1/2/2014,55,55,1,2,259.2,,,937,Garden 1-4 Floors,Assigned,FALSE
MC8189893,SILVER SPRING,20902,249900,249900,250000,WESTWOOD GARDEN CODM,SOLD,1,1/2/2014,19,19,1,1,230,0,,1028,Garden 1-4 Floors,"Free, Surface, Unassigned",FALSE
MC8186586,BETHESDA,20817,1999000,1999000,1971243,PINEVIEW,SOLD,1,1/3/2014,25,229,6,6,,,12086,0,Detached,Garage,TRUE
MC9003503,BETHESDA,20816,1995000,1995000,1995000,SUMNER,SOLD,1,1/3/2014,20,20,6,6,,,9002,0,Detached,Garage,TRUE
MC8199523,BETHESDA,20816,1875000,1950000,1850000,WESTMORELAND HILLS,SOLD,1,1/3/2014,30,30,5,6,,,7207,5000,Detached,Garage,TRUE
MC8209101,POTOMAC,20854,1299000,1465000,1315000,POTOMAC OUTSIDE,SOLD,1,1/3/2014,24,29,4,5,,,103673,5548,Detached,Garage,TRUE
MC8179961,BETHESDA,20814,1099000,1175000,1020000,BATTERY PARK,SOLD,1,1/3/2014,16,16,4,4,,,6517,2798,Detached,"Drvwy/Off Str, Garage",TRUE
MC8169232,GAITHERSBURG,20878,999990,1125000,980000,WILLOW RIDGE,SOLD,1,1/3/2014,68,68,5,4,,145,14146,6736,Detached,Garage,TRUE
MC8067569,POTOMAC,20854,935000,985000,925000,POTOMAC RANCH,SOLD,1,1/3/2014,170,170,4,4,,0,87120,0,Detached,"Drvwy/Off Str, Garage, Paved Driveway, Faces Side, Garage Door Opener",TRUE
MC8209625,GAITHERSBURG,20882,819000,819000,775000,LAYTONSVILLE OUTSIDE,SOLD,1,1/3/2014,14,81,5,5,,,207781,8332,Detached,"Shared Driveway, Garage Door Opener, Asphalt Driveway",TRUE
MC8174403,KENSINGTON,20895,799000,799000,785000,KENSINGTON ORCHIDS,SOLD,1,1/3/2014,81,81,4,5,,80,6177,0,Detached,"Garage, Drvwy/Off Str",TRUE
MC8075733,SANDY SPRING,20860,784990,784990,793945,,SOLD,1,1/3/2014,181,181,4,4,,110,42041,3730,Detached,Garage,TRUE
MC8169512,GARRETT PARK,20896,699900,749900,701000,GARRETT PARK,SOLD,1,1/3/2014,89,89,3,4,,,7372,0,Detached,"Drvwy/Off Str, Paved Driveway",FALSE
MC8225506,TAKOMA PARK,20912,649900,649900,663000,TAKOMA PARK,SOLD,1,1/3/2014,6,6,3,3,,,7643,2200,Detached,Shared Driveway,FALSE
MC8233819,BETHESDA,20814,600000,600000,600000,GLENBROOK VILLAGE,SOLD,1,1/3/2014,0,0,3,4,,,5065,0,Detached,Drvwy/Off Str,FALSE
MC8186761,SILVER SPRING,20904,590000,590000,570000,DRUMELDRA HILLS,SOLD,1,1/3/2014,70,70,3,4,,,22167,0,Detached,"Garage, Drvwy/Off Str",TRUE
MC9004293,ROCKVILLE,20852,575000,599000,575000,MONTROSE,SOLD,1,1/3/2014,39,39,2,3,,,8471,2456,Detached,Drvwy/Off Str,FALSE
MC8211243,ROCKVILLE,20850,540000,540000,530000,BAILEYS COMMONS CODM II,SOLD,1,1/3/2014,29,29,3,2,642.55,,,2124,Garden 1-4 Floors,Garage,TRUE
MC8165372,SILVER SPRING,20905,520000,549900,515000,FAIRLAND ACRES,SOLD,1,1/3/2014,71,128,4,5,,19.17,10737,3694,Detached,Garage,TRUE
MC9003746,SILVER SPRING,20910,520000,540000,515000,ROCK CREEK FOREST,SOLD,1,1/3/2014,52,52,3,3,,,7678,0,Detached,Drvwy/Off Str,FALSE
MC8228859,SILVER SPRING,20910,467000,467000,467000,SILVER SPRING,SOLD,1,1/3/2014,8,8,4,3,,125,1760,0,Townhouse,"Garage, Drvwy/Off Str, Unassigned",TRUE
MC8223029,OLNEY,20832,459900,459900,445000,WILLIAMSBURG VILLAGE,SOLD,1,1/3/2014,20,20,2,4,,54.5,10800,0,Detached,"Drvwy/Off Str, Garage",TRUE
MC8244575,SILVER SPRING,20904,409000,409000,405000,SPRINGBROOK MANOR,SOLD,1,1/3/2014,0,7,4,4,,,9506,0,Detached,Drvwy/Off Str,FALSE
MC8210285,ROCKVILLE,20852,400000,400000,400000,RANDOLPH FARMS,SOLD,1,1/3/2014,23,23,3,3,,,14082,1040,Detached,"Drvwy/Off Str, Garage",TRUE
MC8219553,SILVER SPRING,20904,395000,395000,390000,STONECREST,SOLD,1,1/3/2014,12,12,3,5,,,15724,0,Detached,"Drvwy/Off Str, Carport",FALSE
MC8185998,SILVER SPRING,20905,374900,389900,369000,PEACH ORCHARD HEIGHTS,SOLD,1,1/3/2014,44,44,3,4,,,29325,0,Detached,"Drvwy/Off Str, Free, Carport",FALSE
MC8193772,ASHTON,20861,350000,350000,360000,OLNEY OUT RES (3),SOLD,1,1/3/2014,14,14,2,3,,,87120,0,Detached,"Garage, Gravel Driveway, Additional Storage Area",TRUE
MC8216495,GAITHERSBURG,20878,325000,325000,320000,WARTHER,SOLD,1,1/3/2014,24,24,4,3,,56.19,1762,0,Attach/Row Hse,Assigned,FALSE
MC8100335,BETHESDA,20814,322500,312000,322000,BRISTOL SQUARE CODM,SOLD,1,1/3/2014,47,47,3,2,232,0,,1218,Attach/Row Hse,"Drvwy/Off Str, Unassigned, Faces Front",FALSE
MC8169076,DAMASCUS,20872,320000,335000,311000,DAMASCUS OUTSIDE,SOLD,1,1/3/2014,83,83,2,3,,,37934,0,Detached,"Carport, Paved Driveway",FALSE
MC8223135,SILVER SPRING,20910,315000,315000,295000,,SOLD,1,1/3/2014,21,21,1,1,368,,,783,Hi-Rise 9+ Floors,"Other, Garage",TRUE
MC8218268,GAITHERSBURG,20877,299000,299000,300000,DEER PARK,SOLD,1,1/3/2014,15,15,2,3,,,9006,0,Detached,Drvwy/Off Str,FALSE
MC9003969,GERMANTOWN,20874,269900,269900,269900,GUNNERS VIEW,SOLD,1,1/3/2014,23,23,3,3,,74,2025,1848,Townhouse,Assigned,FALSE
MC8217932,ROCKVILLE,20852,235000,235000,225000,GROSVENOR PARK II,SOLD,1,1/3/2014,17,17,1,1,607.52,,,861,Hi-Rise 9+ Floors,"Unassigned, Surface, Permit Required",FALSE
MC8201785,SILVER SPRING,20910,225000,225000,220000,MICA CODM @ SILVER SPRIN,SOLD,1,1/3/2014,54,54,1,0,288.53,0,,304,Hi-Rise 9+ Floors,Garage,TRUE
MC8235967,GERMANTOWN,20874,220000,225000,205000,GERMANTOWN PARK,SOLD,1,1/3/2014,14,14,3,4,,124,2000,1464,Townhouse,Unassigned,FALSE
MC8247480,SILVER SPRING,20904,210000,210000,210000,ROLLING ACRES,SOLD,1,1/3/2014,0,0,3,3,,180,1540,0,Townhouse,"Gen Comm Elem, Assigned",FALSE
MC8187723,BETHESDA,20814,177000,177000,172000,PROMENADE TOWERS COOP,SOLD,1,1/3/2014,41,41,1,1,931.29,,,981,Hi-Rise 9+ Floors,Assigned,FALSE
MC8243912,SILVER SPRING,20906,295000,295000,295000,HARMONY HILLS,SOLD,1,1/5/2014,6,6,2,3,,,6600,0,Detached,Drvwy/Off Str,FALSE
MC8209743,KENSINGTON,20895,277000,289000,270000,ROCK CREEK PALISADES,SOLD,1,1/5/2014,54,54,1,2,,,5508,0,Detached,Drvwy/Off Str,FALSE
MC8170894,DICKERSON,20842,2495000,2495000,1850000,,SOLD,1,1/6/2014,85,85,8,6,,,7143840,0,Detached,Garage,TRUE
MC8197933,CHEVY CHASE,20815,1795000,1839000,1700000,CHEVY CHASE SEC 2,SOLD,1,1/6/2014,41,41,5,6,,,7500,0,Detached,"Garage, Drvwy/Off Str, Paved Driveway, Under Home Parking, Garage Door Opener",TRUE
MC8233472,POTOMAC,20854,1750000,1750000,1630000,AVENEL,SOLD,1,1/6/2014,15,15,7,6,,293,14201,0,Detached,"Garage, Drvwy/Off Str",TRUE
MC8243444,CHEVY CHASE,20815,1500000,1500000,1500000,PARC SOMERSET CODM,SOLD,1,1/6/2014,0,0,2,1,1232,,,1657,Hi-Rise 9+ Floors,Garage,TRUE
MC8145492,DICKERSON,20842,1295000,1295000,1850000,BARNESVILLE OUTSIDE,SOLD,1,1/6/2014,117,117,7,6,,,1088115,0,Detached,"Drvwy/Off Str, Garage",TRUE
MC8108225,BETHESDA,20816,795000,819000,770000,SUMNER VILLAGE #2,SOLD,1,1/6/2014,173,173,3,2,1040,,,2170,Garden 1-4 Floors,"Prk Space Cnvys, Covered Parking",FALSE
MC8219766,GERMANTOWN,20874,789987,789987,760000,KINGSVIEW VILLAGE,SOLD,1,1/6/2014,7,7,5,4,,58,8891,6181,Detached,"Garage, Drvwy/Off Str",TRUE
MC8215039,BETHESDA,20817,699000,699000,686000,BANNOCKBURN COOP,SOLD,1,1/6/2014,11,47,2,5,,,8666,0,Detached,Drvwy/Off Str,FALSE
MC8233759,CHEVY CHASE,20815,579900,579900,579000,THE ELIZABETH,SOLD,1,1/6/2014,3,3,2,2,1029,,,1288,Hi-Rise 9+ Floors,Garage,TRUE
MC8063762,GERMANTOWN,20876,550000,550000,550000,SENECA CROSSING,SOLD,1,1/6/2014,4,4,4,7,,123,7333,0,Detached,Garage,TRUE
MC8198825,SILVER SPRING,20904,489000,489000,489000,ROLLING ACRES,SOLD,1,1/6/2014,16,16,3,4,,,13359,0,Detached,Garage,TRUE
MC8175289,BETHESDA,20816,434900,434900,450000,SUMNER CLUSTERS,SOLD,1,1/6/2014,5,5,1,3,325,0,,1125,Attach/Row Hse,Free,FALSE
MC8224509,ROCKVILLE,20852,434900,434900,419000,RANDOLPH HILLS,SOLD,1,1/6/2014,19,19,3,5,,,8880,0,Detached,Drvwy/Off Str,FALSE
MC8225576,ROCKVILLE,20855,399900,399900,410000,WINTERS RUN,SOLD,1,1/6/2014,15,132,3,5,,,23415,0,Detached,Garage,TRUE
MC8225981,GAITHERSBURG,20877,370000,370000,370000,HIDDEN CREEK,SOLD,1,1/6/2014,26,26,4,3,,96,1257,0,Townhouse,Garage,TRUE
MC8209629,CLARKSBURG,20871,357000,369000,357000,HIGHLANDS AT CLARKSBURG,SOLD,1,1/6/2014,30,30,4,3,,63,1587,2400,Semi-Detached,"Garage, Drvwy/Off Str, Street",TRUE
MC8106863,ROCKVILLE,20850,260000,274900,260000,DECOVERLY IV CODM,SOLD,1,1/6/2014,173,173,2,3,326,,,1119,Garden 1-4 Floors,"Assigned, Permit Required",FALSE
MC8231769,SILVER SPRING,20906,139900,139900,139900,MONTGOMERY MUTUAL COOP,SOLD,1,1/6/2014,7,7,3,2,798,,,1600,Townhouse,Assigned,FALSE
MC8212762,SILVER SPRING,20902,115000,115000,92000,UNIVERSITY TOWERS CODM,SOLD,1,1/6/2014,16,16,1,2,592.22,0,,0,Mid-Rise 5-8 Floors,Free,FALSE
MC8104226,SILVER SPRING,20906,109900,109900,104000,GLENWAYE GARDENS,SOLD,1,1/6/2014,154,154,1,1,458.1,,,843,Other,Assigned,FALSE
MC8177621,CHEVY CHASE,20815,2495000,2495000,2400000,CHEVY CHASE SEC 2,SOLD,1,1/7/2014,17,183,5,7,,,11832,0,Detached,Garage,TRUE
MC8214709,POTOMAC,20854,729900,750000,707000,HIGHLAND STONE,SOLD,1,1/7/2014,36,36,3,4,,,10808,3432,Detached,Garage,TRUE
MC8211133,BETHESDA,20817,649000,649000,650000,WOODBURN,SOLD,1,1/7/2014,5,5,3,3,,,8498,0,Detached,"Drvwy/Off Str, Paved Driveway, Concrete Driveway",FALSE
MC8187107,GAITHERSBURG,20878,585000,585000,550000,PHEASANT RUN,SOLD,1,1/7/2014,79,79,4,4,,,10107,2770,Detached,Garage,TRUE
MC8168831,GAITHERSBURG,20878,561015,558445,561015,,SOLD,1,1/7/2014,0,0,5,4,,102,1360,1853,Townhouse,"Drvwy/Off Str, Garage",TRUE
MC8231919,GERMANTOWN,20876,360000,360000,352000,VISTAS AT MILESTONE CODM,SOLD,1,1/7/2014,7,7,3,3,175,0,,2650,Townhouse,"Drvwy/Off Str, Garage, Garage Door Opener",TRUE
MC9002657,GERMANTOWN,20874,340000,340000,330000,GERMANTOWN ESTATES,SOLD,1,1/7/2014,55,134,4,4,,64.14,2000,0,Townhouse,Assigned,FALSE
MC8219406,ROCKVILLE,20851,329000,329000,320000,TWINBROOK,SOLD,1,1/7/2014,16,16,2,4,,,5775,0,Detached,"Paved Driveway, Street, Drvwy/Off Str",FALSE
MC8140024,GERMANTOWN,20874,300000,329900,285000,CHURCHILL TOWN SECTOR,SOLD,1,1/7/2014,133,133,2,2,,43,9590,0,Detached,"Garage, Drvwy/Off Str",TRUE
MC8229168,SILVER SPRING,20906,279999,279999,259000,ROSSMOOR MUTUAL #9,SOLD,1,1/7/2014,15,15,2,3,710,0,,1193,Duplex,Drvwy/Off Str,FALSE
MC8218165,GERMANTOWN,20874,245000,249900,240000,PLEASANT FIELDS,SOLD,1,1/7/2014,23,64,3,3,,76,2051,1056,Townhouse,Faces Front,FALSE
MC8211088,CHEVY CHASE,20815,849900,849900,835000,RIDGEWOOD VILLAGE,SOLD,1,1/8/2014,29,29,2,4,,,8796,0,Detached,"Drvwy/Off Str, Garage",TRUE
MC8138673,BROOKEVILLE,20833,779900,839900,775000,ABRAMS,SOLD,1,1/8/2014,123,123,4,4,,600,87991,4481,Detached,Garage,TRUE
MC8183087,ROCKVILLE,20850,614900,654900,590000,WEST END PARK,SOLD,1,1/8/2014,71,71,3,4,,,10593,2255,Detached,Off Site Parking,FALSE
MC8216180,POTOMAC,20854,612000,612000,625000,REGENT PARK,SOLD,1,1/8/2014,26,26,3,5,,,9020,3138,Detached,Drvwy/Off Str,FALSE
MC9004036,SILVER SPRING,20905,589900,589900,589900,PEACH ORCHARD HEIGHTS,SOLD,1,1/8/2014,10,10,3,4,,,46805,0,Detached,Garage,TRUE
MC8222380,BETHESDA,20817,549000,625000,549900,AYRLAWN,SOLD,1,1/8/2014,28,28,2,4,,,5941,0,Detached,Street,FALSE
MC8224754,OLNEY,20832,499900,499900,495000,CHERRYWOOD,SOLD,1,1/8/2014,7,7,3,3,,59,12330,2502,Detached,"Garage, Drvwy/Off Str",TRUE
MC8220777,SILVER SPRING,20904,459900,459900,450000,COLESVILLE OUTSIDE,SOLD,1,1/8/2014,15,35,3,4,,,52707,3150,Detached,Drvwy/Off Str,FALSE
MC8236300,ROCKVILLE,20852,445000,445000,445000,EDSON PARK CODM,SOLD,1,1/8/2014,4,4,3,2,185,,,1243,Garden 1-4 Floors,Assigned,FALSE
MC8092257,BETHESDA,20817,187900,187900,182000,WEST SPRING,SOLD,1,1/8/2014,56,56,1,1,560,,,787,Garden 1-4 Floors,"Assigned, Garage",TRUE
MC8228966,SILVER SPRING,20901,165000,165000,165000,PARKSIDE PLAZA CODM,SOLD,1,1/8/2014,8,8,1,1,592,,,955,Hi-Rise 9+ Floors,"Surface, Unassigned",FALSE
MC8095887,SILVER SPRING,20906,700000,725000,700000,REGENCY AT LEISURE WORLD,SOLD,1,1/9/2014,136,136,3,4,,301,5568,5080,Detached,"Garage, Street, Garage Door Opener",TRUE
MC8195026,OLNEY,20832,539900,539900,522000,OLNEY OAKS,SOLD,1,1/9/2014,35,35,3,4,,185,10139,2447,Detached,Garage,TRUE
MC8272682,ROCKVILLE,20853,480000,480000,480000,MANOR WOODS,SOLD,1,1/9/2014,0,10,3,4,,,8625,0,Detached,Drvwy/Off Str,FALSE
MC8222910,CHEVY CHASE,20815,429000,429000,404000,4620 NORTH PARK AVE,SOLD,1,1/9/2014,11,11,2,1,771.71,,,1003,Hi-Rise 9+ Floors,Garage,TRUE
MC8129552,SILVER SPRING,20910,409000,439000,385000,BLAIR,SOLD,1,1/9/2014,116,116,2,3,,,5212,0,Detached,Street,FALSE
MC8175347,TAKOMA PARK,20901,399900,399900,375000,TAKOMA PARK,SOLD,1,1/9/2014,91,91,3,3,,,9632,1460,Detached,Drvwy/Off Str,FALSE
MC8219960,ROCKVILLE,20850,369900,369900,369900,FALLSGROVE CODM,SOLD,1,1/9/2014,6,6,3,2,329,,,1468,Townhouse,"Unassigned, Street",FALSE
MC8250546,SILVER SPRING,20906,363500,363500,363500,ROSSMOOR MUTUAL #16,SOLD,1,1/9/2014,0,0,2,2,679,0,,1410,Patio Home,Garage,TRUE
MC8221384,ROCKVILLE,20851,355000,375000,351000,TWINBROOK,SOLD,1,1/9/2014,33,33,2,4,,33,5850,0,Detached,"Paved Driveway, Drvwy/Off Str, Street",FALSE
MC8196223,CHEVY CHASE,20815,354900,374900,345000,WILLOUGHBY OF CH CH CODM,SOLD,1,1/9/2014,65,65,1,2,760.77,,,1065,Hi-Rise 9+ Floors,On-site Prk/Rent,FALSE
MC8188449,SILVER SPRING,20906,268000,281000,250000,VILLA CORTEZ CODM,SOLD,1,1/9/2014,90,90,2,2,621,,,1300,Garden 1-4 Floors,Garage,TRUE
MC8211868,SILVER SPRING,20906,78000,78000,75000,MONTGOMERY MUTUAL COOP,SOLD,1,1/9/2014,12,12,1,1,702,,,990,Garden 1-4 Floors,"Assigned, Surface",FALSE
MC8210844,CHEVY CHASE,20815,1780000,1780000,1780000,CHEVY CHASE SEC 5-A,SOLD,1,1/10/2014,10,10,5,5,,,12769,0,Detached,Drvwy/Off Str,FALSE
MC8229375,BETHESDA,20814,1425000,1425000,1397000,BRADLEY HILLS,SOLD,1,1/10/2014,13,13,3,4,,,7773,0,Detached,Drvwy/Off Str,FALSE
MC8219799,BETHESDA,20814,1095000,1095000,1025400,BATTERY PARK,SOLD,1,1/10/2014,15,15,3,5,,,7325,0,Detached,"Garage, Paved Driveway",TRUE
MC8217210,ROCKVILLE,20850,1030000,1030000,1000500,GLEN HILLS,SOLD,1,1/10/2014,0,234,5,4,,46,40001,0,Detached,"Garage, Garage Door Opener, Asphalt Driveway",TRUE
MC8067525,DARNESTOWN,20874,939900,995000,905000,DARNESTOWN OUTSIDE,SOLD,1,1/10/2014,205,205,6,5,,,87120,7052,Detached,"Garage, Garage Door Opener, Asphalt Driveway",TRUE
MC8162380,BROOKEVILLE,20833,879000,945000,845000,GOLD MINE CROSSING,SOLD,1,1/10/2014,87,87,5,5,,,213444,0,Detached,"Drvwy/Off Str, Garage",TRUE
MC8175786,KENSINGTON,20895,790000,825000,773000,NORTH KENSINGTON,SOLD,1,1/10/2014,63,63,4,3,,,6450,2900,Detached,Drvwy/Off Str,FALSE
MC8199692,GAITHERSBURG,20878,780000,780000,721007,CROWN FARM,SOLD,1,1/10/2014,15,15,4,3,,102,2027,2265,Townhouse,Garage,TRUE
MC8165844,CHEVY CHASE,20815,749000,849000,744000,THE CARLETN OF CH CH COD,SOLD,1,1/10/2014,86,86,2,2,970,,,1918,Hi-Rise 9+ Floors,"Assigned, Garage",TRUE
MC8181119,POTOMAC,20854,749000,799000,710000,REGENCY ESTATES,SOLD,1,1/10/2014,53,53,4,4,,,9231,2818,Detached,"Carport, Covered Parking, Concrete Driveway",FALSE
MC9003496,ROCKVILLE,20852,670000,689000,652000,TOWER OAKS,SOLD,1,1/10/2014,69,69,5,3,,115,1877,2400,Townhouse,Garage,TRUE
MC8167733,GERMANTOWN,20874,640000,675000,630000,KINGSVIEW VILLAGE,SOLD,1,1/10/2014,102,102,4,4,,57.25,11751,0,Detached,Garage,TRUE
MC8231259,SILVER SPRING,20910,629000,629000,618000,MONTGOMERY HILLS,SOLD,1,1/10/2014,14,14,3,3,,,7777,0,Detached,"Garage, Drvwy/Off Str",TRUE
MC8219695,ROCKVILLE,20850,599900,625000,573000,WOODLEY GARDENS,SOLD,1,1/10/2014,50,50,3,4,,,12399,0,Detached,Drvwy/Off Str,FALSE
MC8219065,SILVER SPRING,20905,595000,595000,578750,STONEGATE,SOLD,1,1/10/2014,10,10,4,4,,,20434,3385,Detached,"Drvwy/Off Str, Garage Door Opener, Garage",TRUE
MC8192955,GAITHERSBURG,20882,589000,585000,589000,WOODFIELD ESTATES,SOLD,1,1/10/2014,78,78,3,4,,263,61570,0,Detached,"Garage, Drvwy/Off Str",TRUE
MC8238199,ROCKVILLE,20850,579900,579900,579900,ROSE HILL FALLS,SOLD,1,1/10/2014,0,0,3,3,,73.68,1892,2324,Townhouse,"Drvwy/Off Str, Garage, Street",TRUE
MC8191527,SILVER SPRING,20901,559000,569000,540000,HIGHLAND VIEW,SOLD,1,1/10/2014,67,67,3,3,,,9387,2184,Detached,"Paved Driveway, Garage",TRUE
MC8210490,SILVER SPRING,20901,549000,569000,554000,SEVEN OAKS,SOLD,1,1/10/2014,44,44,3,4,,,5764,2100,Detached,Drvwy/Off Str,FALSE
MC8236343,SILVER SPRING,20905,515000,515000,515000,STONEGATE,SOLD,1,1/10/2014,8,8,3,4,,,15000,0,Detached,"Drvwy/Off Str, Garage, Garage Door Opener, Faces Front",TRUE
MC8197597,BETHESDA,20816,499900,525000,485000,SUMNER VILLAGE #1,SOLD,1,1/10/2014,73,73,2,2,872.49,,,1553,Garden 1-4 Floors,Assigned,FALSE
MC8228238,GAITHERSBURG,20877,434900,434900,434900,SAYBROOKE,SOLD,1,1/10/2014,9,9,4,3,,178,3329,2754,Detached,Garage,TRUE
MC8217229,SILVER SPRING,20901,429000,429000,429000,NORTHWOOD VILLAGE,SOLD,1,1/10/2014,11,11,2,3,,,6675,1729,Detached,Street,FALSE
MC8229921,GERMANTOWN,20874,420000,420000,405000,CHURCHILL TWN SECTOR TH,SOLD,1,1/10/2014,13,13,4,3,,75,2000,2162,Townhouse,Garage,TRUE
MC8118482,MONTGOMERY VILLAGE,20886,404900,440000,385000,CTS OF WHETSTONE,SOLD,1,1/10/2014,156,156,4,5,,380,4050,2830,Detached,"Garage, Faces Front, Garage Door Opener, Drvwy/Off Str",TRUE
MC8204805,CLARKSBURG,20871,399000,399000,380000,CLARKSBURG TOWN CENTER,SOLD,1,1/10/2014,70,70,4,4,,101.75,1450,0,Townhouse,Garage,TRUE
MC8208981,SILVER SPRING,20902,374900,399000,372000,WHEATONCREST,SOLD,1,1/10/2014,43,43,2,4,,,6963,2000,Detached,Street,FALSE
MC8224881,SILVER SPRING,20901,360000,360000,365000,SLIGO ESTATES,SOLD,1,1/10/2014,13,13,3,6,,,7085,0,Detached,Paved Driveway,FALSE
MC8192923,OLNEY,20832,355000,374900,346000,HALLOWELL,SOLD,1,1/10/2014,65,65,4,3,,96,1575,2420,Townhouse,"Assigned, Other",FALSE
MC8238549,SILVER SPRING,20901,350000,350000,345000,WOODMOOR,SOLD,1,1/10/2014,0,0,1,3,,,8355,0,Detached,Garage,TRUE
MC8192425,BOYDS,20841,349900,369500,337000,SUMMERFIELD CROSSING,SOLD,1,1/10/2014,40,40,4,3,,79,1905,0,Townhouse,"Garage, Street",TRUE
MC8238901,SILVER SPRING,20906,349900,349900,360088,ROSSMOOR MUTUAL #18,SOLD,1,1/10/2014,3,3,2,3,762,,,1500,Patio Home,Garage,TRUE
MC8218086,CHEVY CHASE,20815,345000,370000,335000,THE ELIZABETH,SOLD,1,1/10/2014,30,30,1,1,757,0,,921,Hi-Rise 9+ Floors,Garage,TRUE
MC8229896,ROCKVILLE,20850,339500,339500,337500,FITZ AT ROCKVILLE TOWN C,SOLD,1,1/10/2014,26,26,2,2,403,,,1165,Garden 1-4 Floors,Garage,TRUE
MC8235869,ROCKVILLE,20850,289000,289000,280000,AMERICANA CENTRE,SOLD,1,1/10/2014,11,11,2,2,697,,,1231,Hi-Rise 9+ Floors,"Assigned, Garage",TRUE
MC8182435,SPENCERVILLE,20868,284900,284900,272500,COLESVILLE OUTSIDE,SOLD,1,1/10/2014,87,87,1,2,,,11325,0,Detached,Drvwy/Off Str,FALSE
MC8194568,SILVER SPRING,20906,270000,270000,265000,GLENMONT HILLS & HGTS,SOLD,1,1/10/2014,34,34,1,3,,,6960,0,Detached,Street,FALSE
MC8215390,SILVER SPRING,20906,269900,279000,269000,VEIRS MILL VILLAGE,SOLD,1,1/10/2014,30,30,2,3,,,11255,0,Detached,Street,FALSE
MC8215609,GERMANTOWN,20874,269000,269000,265000,STONERIDGE,SOLD,1,1/10/2014,36,36,4,3,,75,2400,0,Townhouse,"Assigned, Prk Space Cnvys",FALSE
MC8211035,ROCKVILLE,20852,265000,265000,261500,GROSVENOR PARK III,SOLD,1,1/10/2014,6,6,2,2,863.85,,,1206,Hi-Rise 9+ Floors,Garage,TRUE
MC8224930,MONTGOMERY VILLAGE,20886,259900,259900,260000,MILLRACE,SOLD,1,1/10/2014,1,1,3,3,,310.45,1347,0,Townhouse,"Garage, Garage Door Opener, Faces Front, Concrete Driveway",TRUE
MC8197745,CHEVY CHASE,20815,249900,269000,238000,WILLOUGHBY OF CH CH CODM,SOLD,1,1/10/2014,63,63,1,1,374,,,561,Hi-Rise 9+ Floors,"Street, On-site Prk/Rent",FALSE
MC8227148,GERMANTOWN,20874,249900,249900,249900,GUNNERS LAKE VILLAGE,SOLD,1,1/10/2014,25,25,3,2,,60,1040,1504,Townhouse,Assigned,FALSE
MC9003385,BURTONSVILLE,20866,239900,259900,230500,VALLEY STREAM ESTATES,SOLD,1,1/10/2014,48,48,3,3,,70,1056,1440,Townhouse,Assigned,FALSE
MC8204468,SILVER SPRING,20906,239900,239900,239000,BONIFANT WOODS,SOLD,1,1/10/2014,12,12,2,2,,44,1584,0,Townhouse,Assigned,FALSE
MC8224130,GERMANTOWN,20874,225000,225000,225000,PLEASANT FIELDS,SOLD,1,1/10/2014,11,11,3,3,,76,1979,0,Townhouse,Assigned,FALSE
MC8208752,SILVER SPRING,20906,218500,218500,208000,THE GRNS AT LEISURE WRLD,SOLD,1,1/10/2014,45,45,2,2,646,0,,1480,Hi-Rise 9+ Floors,Gen Comm Elem,FALSE
