Zip,community_facilities_count
20814,10
20815,11
20816,7
20817,21
20818,2
20832,10
20833,3
20837,4
20839,1
20841,3
20842,2
20850,13
20851,6
20852,13
20853,22
20854,17
20855,8
20860,3
20866,8
20871,8
20872,8
20874,26
20876,11
20877,11
20878,16
20879,18
20882,4
20886,1
20895,14
20901,18
20902,22
20903,7
20904,24
20905,7
20906,23
20910,13
20912,4
