ML#,City,State,Zip 4,Zip Code,List Price,Original List Price,Close Price,Advertised Subdivision,Legal Subdivision,Status,Close Date,DOMM,DOMP,Baths All,Baths Half,Baths Full,Bedrooms,Condo Coop Fee,Cooling,Dining Kitchen,Farm,Fireplaces,Heating,HOA,HOA Fee,Lot Sqft,Total Square Footage,Townhouse Type,Type,Parking
MC8320294,CHEVY CHASE,MD,4458,20815,8750000,8750000,8650000,PARC SOMERSET CODM,PARC SOMERSET CODM,SOLD,4/15/2014,0,0,4,0,4,4,5010,Heat Pump(s),Sep Dining Rm,FALSE,1,Forced Air,FALSE,,,3400,,Hi-Rise 9+ Floors,Garage
MC8291029,BETHESDA,MD,3026,20817,7500000,5995000,7350000,BRADLEY HILLS GROVE,BRADLEY HILLS GROVE,SOLD,6/12/2014,19,343,9,2,7,6,,"Ceiling Fan(s), Central Air Conditioning, Programmable Thermostat, Zoned","Breakfast Room, Gourmet, Kit-Breakfast Bar, Kit-Island",FALSE,5,"Central, Forced Air, Zoned",FALSE,,124058,0,,Detached,"Garage, Paved Driveway"
MC7919334,POTOMAC,MD,,20854,4995000,5995000,4400000,CAMOTOP,CAMOTOP,SOLD,4/1/2014,524,524,13,3,10,9,,"Central Air Conditioning, Zoned","2nd Kitchen, Breakfast Room, Fam Rm Off Kit, Gourmet, Kit-Breakfast Bar, Kit-Country, Kit-Island, Sep Dining Rm",FALSE,5,"Central, Forced Air, Zoned",FALSE,,90169,18500,,Detached,Garage
MC8246857,BETHESDA,MD,3065,20817,4495000,4795000,4200000,BRADLEY HILLS GROVE,BRADLEY HILLS GROVE,SOLD,6/12/2014,106,106,11,1,10,8,,Zoned,"Breakfast Room, Fam Rm Off Kit, Gourmet, Kit-Breakfast Bar, Kit-Island, Sep Dining Rm",FALSE,5,"Forced Air, Zoned",FALSE,,42974,12000,,Detached,Garage
MC8312324,BETHESDA,MD,4581,20817,4495000,4495000,4350000,POTOMAC OUTSIDE,POTOMAC OUTSIDE,SOLD,6/26/2014,10,10,10,3,7,5,,"Central Air Conditioning, Zoned","Breakfast Room, Fam Rm Off Kit, Gourmet, Kit-Breakfast Bar, Kit-Island, Sep Dining Rm",FALSE,6,"Central, Forced Air, Zoned",FALSE,,87120,11783,,Detached,"DW - Circular, Garage"
MC8054439,BETHESDA,MD,2258,20816,4490000,5500000,4100000,GLEN ECHO HEIGHTS,GLEN ECHO HEIGHTS,SOLD,2/28/2014,243,243,8,1,7,5,,"Central Air Conditioning, Zoned","Gourmet, Kit-Island, Kit-Living Combo, Liv-Din Combo",FALSE,4,"Forced Air, Programmable Thermostat, Hydronic Radiant Floors, Zoned",FALSE,,35658,5116,,Detached,"Drvwy/Off Str, Garage, Private 1-10 Spaces, Garage Door Opener, Gravel Driveway"
MC8279246,BETHESDA,MD,3065,20817,4200000,4200000,4000000,BRADLEY HILLS GROVE,BRADLEY HILLS GROVE,SOLD,6/2/2014,26,26,7,1,6,5,,"Central Air Conditioning, Ceiling Fan(s), Zoned","Breakfast Room, Fam Rm Off Kit, Gourmet, Kit-Breakfast Bar, Kit-Island, Sep Dining Rm",FALSE,4,"Forced Air, Zoned",FALSE,,30755,8800,,Detached,"Garage, Garage Door Opener"
MC8312867,CHEVY CHASE,MD,6660,20815,4200000,4200000,3900000,KENWOOD,KENWOOD,SOLD,6/18/2014,31,31,8,2,6,6,,"Central Air Conditioning, Ceiling Fan(s), Zoned","Kit-Island, Sep Dining Rm",FALSE,5,Forced Air,FALSE,,18481,0,,Detached,"Drvwy/Off Str, Garage, Garage Door Opener, Faces Rear"
MC7956037,POTOMAC,MD,1956,20854,3995000,4250000,3300000,POTOMAC OUTSIDE,POTOMAC OUTSIDE,SOLD,4/8/2014,442,442,10,2,8,5,,"Central Air Conditioning, Zoned","Breakfast Room, Fam Rm Off Kit, Gourmet, Kit-Breakfast Bar, Kit-Island, Sep Dining Rm",FALSE,3,"Forced Air, Zoned",TRUE,747,217800,8500,,Detached,Garage
MC8020936,CHEVY CHASE,MD,4208,20815,3595000,3595000,3310000,CHEVY CHASE,CHEVY CHASE SEC 2,SOLD,4/3/2014,294,294,8,2,6,6,,"Central Air Conditioning, Zoned","Breakfast Room, Fam Rm Off Kit, Gourmet, Kit-Breakfast Bar, Kit-Island, Sep Dining Rm",FALSE,3,"Baseboard, Forced Air, Hydronic Radiant Floors, Radiator, Zoned",FALSE,,11583,0,,Detached,"Garage, Shared Driveway"
MC8248062,BETHESDA,MD,4581,20817,3500000,3500000,3200000,COUNTRY CLUB,POTOMAC OUTSIDE,SOLD,4/1/2014,10,10,9,2,7,6,,"Central Air Conditioning, Ceiling Fan(s), Zoned","Kit-Island, Fam Rm Off Kit, Breakfast Room, Gourmet, Sep Dining Rm",FALSE,6,"Forced Air, Zoned",FALSE,,87556,0,,Detached,"DW - Circular, Garage"
MC8057015,CHEVY CHASE,MD,6503,20815,3495000,3495000,3065000,KENWOOD,KENWOOD,SOLD,3/14/2014,238,238,6,2,4,6,,"Central Air Conditioning, Zoned","Breakfast Room, Gourmet, Kit-Breakfast Bar, Kit-Island, Sep Dining Rm",FALSE,5,"Central, Forced Air, Zoned",FALSE,,15850,0,,Detached,Garage
MC8247479,POTOMAC,MD,4743,20854,3495000,3495000,2880000,FALCONHURST,FALCONHURST,SOLD,2/4/2014,0,916,7,0,7,4,,"Ceiling Fan(s), Central Air Conditioning, Zoned","2nd Kitchen, Breakfast Room, Fam Rm Off Kit, Gourmet, Kit-Island, Kit-Table Space, Sep Dining Rm",FALSE,4,"Forced Air, Heat Pump(s), Zoned",FALSE,,87120,12332,,Detached,"DW - Circular, Garage, Faces Side, Garage Door Opener"
MC8292722,CHEVY CHASE,MD,5521,20815,3395000,3395000,3395000,SOMERSET HEIGHTS,SOMERSET HEIGHTS,SOLD,6/30/2014,5,5,6,1,5,5,,"Central Air Conditioning, Geothermal Heat Pump, Zoned","Breakfast Room, Fam Rm Off Kit, Gourmet, Kit-Breakfast Bar, Kit-Island, Sep Dining Rm",FALSE,2,"Forced Air, Central, Geothermal Heat Pump, Programmable Thermostat, Zoned",FALSE,,8750,6300,,Detached,Garage
MC8305158,BETHESDA,MD,1243,20814,3300000,3300000,3030000,EDGEMOOR,EDGEMOOR,SOLD,6/11/2014,23,23,5,1,4,4,,Central Air Conditioning,"Gourmet, Sep Dining Rm, Eat-In Kitchen",FALSE,2,Forced Air,FALSE,,24681,0,,Detached,DW - Circular
MC8308081,CHEVY CHASE,MD,6505,20815,3237000,3237000,3100000,KENWOOD,KENWOOD,SOLD,6/11/2014,10,10,7,1,6,8,,Central Air Conditioning,"2nd Kitchen, Butlers Pantry, Gourmet, Kit-Island, Kit-Table Space, Sep Dining Rm, Eat-In Kitchen",FALSE,3,"Programmable Thermostat, Central",FALSE,,18158,0,,Detached,"DW - Circular, Garage"
MC8285549,CHEVY CHASE,MD,4454,20815,2950000,2950000,2850000,PARC SOMERSET CODM,PARC SOMERSET CODM,SOLD,4/11/2014,18,18,3,0,3,3,1903,Central Air Conditioning,"Breakfast Room, Kit-Breakfast Bar, Kit-Island, Kit-Table Space, Sep Dining Rm",FALSE,1,Forced Air,FALSE,,,2498,,Hi-Rise 9+ Floors,Garage
MC8265984,CHEVY CHASE,MD,4255,20815,2845000,2845000,2652500,CHEVY CHASE SEC 2,CHEVY CHASE SEC 2,SOLD,3/21/2014,0,194,7,1,6,8,,Central Air Conditioning,Gourmet,FALSE,4,Heat Pump(s),FALSE,,15359,7500,,Detached,Drvwy/Off Str
MC8326283,POTOMAC,MD,4453,20854,2745000,2745000,2500000,KENTSDALE ESTATES,KENTSDALE ESTATES,SOLD,6/20/2014,29,886,9,3,6,5,,"Central Air Conditioning, Ceiling Fan(s), Zoned","Breakfast Room, Fam Rm Off Kit, Gourmet, Kit-Breakfast Bar, Kit-Family Combo, Kit-Island, Eat-In Kitchen",FALSE,4,"Central, Forced Air",FALSE,,90605,0,,Detached,"Garage, DW - Circular, Garage Door Opener, Paved Driveway"
MC8257339,CHEVY CHASE,MD,4454,20815,2695000,2695000,2850000,SOMERSET,PARC SOMERSET CODM,SOLD,2/1/2014,4,4,3,0,3,3,1903,Central Air Conditioning,"Breakfast Room, Kit-Breakfast Bar, Kit-Island, Kit-Table Space, Sep Dining Rm",FALSE,1,Forced Air,FALSE,,,2498,,Hi-Rise 9+ Floors,Garage
MC8150433,BETHESDA,MD,1010,20814,2595000,2595000,2475000,BRADLEY HILLS,BRADLEY HILLS,SOLD,5/12/2014,251,251,7,1,6,6,,ENERGY STAR Cooling System,Gourmet,FALSE,2,ENERGY STAR Heating System,FALSE,,13838,8000,,Detached,Garage
MC8292169,ROCKVILLE,MD,4472,20854,2595000,2695000,2440000,FALCONHURST,FALCONHURST,SOLD,6/30/2014,67,67,7,3,4,5,,Central Air Conditioning,"Gourmet, Kit-Island, Kit-Table Space, Breakfast Room, Butlers Pantry, Fam Rm Off Kit, Sep Dining Rm, Eat-In Kitchen",FALSE,5,Forced Air,TRUE,239.58,87120,9200,,Detached,"DW - Circular, Private 1-10 Spaces, Faces Side, Garage, Garage Door Opener"
MC8282437,POTOMAC,MD,1725,20854,2595000,2595000,2438000,FAWCETT FARMS,FAWCETT FARMS,SOLD,6/12/2014,60,60,9,3,6,5,,Central Air Conditioning,Sep Dining Rm,FALSE,3,Forced Air,FALSE,,40000,11179,,Detached,Garage
MC8343263,POTOMAC,MD,1521,20854,2595000,2595000,2585000,GREAT FALLS ESTATES,GREAT FALLS ESTATES,SOLD,5/9/2014,0,0,7,1,6,6,,Central Air Conditioning,Breakfast Room,FALSE,2,"Forced Air, Heat Pump(s)",FALSE,,100188,0,,Detached,Garage
MC8230481,CHEVY CHASE,MD,6661,20815,2590000,2799000,2435000,KENWOOD,KENWOOD,SOLD,5/14/2014,111,111,7,1,6,6,,"Central Air Conditioning, Heat Pump(s)","Kit-Table Space, 2nd Kitchen, Sep Dining Rm, Kit-Country, Kit-Family Combo",FALSE,2,"90% Forced Air, Forced Air, Heat Pump(s), Hot Water, Other",FALSE,,20310,0,,Detached,"Drvwy/Off Str, Paved Driveway"
MC8302833,CHEVY CHASE,MD,6506,20815,2525000,2525000,2470000,KENWOOD,KENWOOD,SOLD,5/30/2014,5,5,5,1,4,5,,"Central Air Conditioning, Ceiling Fan(s), Zoned","Gourmet, Kit-Island, Kit-Table Space, Sep Dining Rm, Eat-In Kitchen",FALSE,4,"Central, Forced Air",FALSE,,13475,4090,,Detached,"Garage, Drvwy/Off Str, Paved Driveway, Garage Door Opener"
MC8228197,POTOMAC,MD,,20854,2500000,2500000,2430000,RIVERS EDGE,RIVERS EDGE,SOLD,3/24/2014,61,61,11,2,9,9,,"Central Air Conditioning, Ceiling Fan(s), ENERGY STAR Cooling System, Programmable Thermostat, Zoned","2nd Kitchen, Breakfast Room, Butlers Pantry, Fam Rm Off Kit, Gourmet, Kit-Island, Sep Dining Rm, Eat-In Kitchen",FALSE,4,"Forced Air, Heat Pump(s), Humidifier, Programmable Thermostat, Zoned",TRUE,150,87120,0,,Detached,"Drvwy/Off Str, DW - Circular, Garage, Paved Driveway, Garage Door Opener"
MC8035125,POTOMAC,MD,1153,20854,2499000,2985000,2330000,STONEY CREEK FARM,STONEY CREEK FARM,SOLD,1/28/2014,229,229,9,2,7,7,,"Ceiling Fan(s), Central Air Conditioning, Heat Pump(s), Programmable Thermostat, Zoned","2nd Kitchen, Breakfast Room, Butlers Pantry, Gourmet, Kit-Breakfast Bar, Kit-Island, Sep Dining Rm, Eat-In Kitchen",FALSE,3,"Central, Forced Air, Heat Pump(s), Humidifier, Zoned",TRUE,900,229959,11989,,Detached,"Garage, Garage Door Opener, Asphalt Driveway"
MC8170894,DICKERSON,MD,,20842,2495000,2495000,1850000,BARNESVILLE OUTSIDE,,SOLD,1/6/2014,85,85,8,3,5,6,,Central Air Conditioning,"2nd Kitchen, Breakfast Room, Butlers Pantry, Fam Rm Off Kit, Kit-Country, Kit-Island, Kit-Table Space, Sep Dining Rm, Eat-In Kitchen",FALSE,4,Baseboard,FALSE,,7143840,0,,Detached,Garage
MC8177621,CHEVY CHASE,MD,3427,20815,2495000,2495000,2400000,CHEVY CHASE,CHEVY CHASE SEC 2,SOLD,1/7/2014,17,183,5,1,4,7,,Central Air Conditioning,"Gourmet, Kit-Country, Kit-Table Space, Sep Dining Rm",FALSE,3,Radiator,FALSE,,11832,0,,Detached,Garage
MC8308465,POTOMAC,MD,1976,20854,2450000,2450000,2200000,POTOMAC OUTSIDE,POTOMAC OUTSIDE,SOLD,5/29/2014,13,13,8,2,6,6,,Central Air Conditioning,"Kit-Family Combo, Sep Dining Rm, 2nd Kitchen, Breakfast Room, Fam Rm Off Kit, Gourmet, Kit-Island, Breakfast nook",FALSE,2,Forced Air,FALSE,,93218,11530,,Detached,"Garage, DW - Circular, Paved Driveway"
MC8345149,BETHESDA,MD,1312,20814,2400000,2400000,2400000,EDGEMOOR,EDGEMOOR,SOLD,5/10/2014,0,0,4,1,3,4,,Central Air Conditioning,Gourmet,FALSE,2,Forced Air,FALSE,,14500,0,,Detached,Drvwy/Off Str
MC8307373,POTOMAC,MD,6321,20854,2380000,2380000,2295000,DARNESTOWN OUTSIDE,DARNESTOWN OUTSIDE,SOLD,5/2/2014,15,15,6,1,5,5,,Central Air Conditioning,"Kit-Country, Sep Dining Rm, Breakfast Room",FALSE,3,Forced Air,FALSE,,250500,5900,,Detached,Garage
MC8263329,BETHESDA,MD,3136,20816,2350000,2350000,2325000,GLEN ECHO,GLEN ECHO HEIGHTS,SOLD,4/30/2014,45,45,6,2,4,6,,"Central Air Conditioning, ENERGY STAR Cooling System, Zoned","Breakfast Room, Fam Rm Off Kit, Gourmet, Kit-Breakfast Bar, Kit-Island, Sep Dining Rm",FALSE,1,"Central, ENERGY STAR Heating System, Forced Air, Hydronic Radiant Floors, Zoned",FALSE,,14000,6431,,Detached,Garage
MC8319071,POTOMAC,MD,1220,20854,2350000,2350000,2338000,LAKE POTOMAC,LAKE POTOMAC,SOLD,6/13/2014,10,10,7,1,6,6,,"Central Air Conditioning, Ceiling Fan(s), Programmable Thermostat","Kit-Breakfast Bar, Breakfast nook, Fam Rm Off Kit, Sep Dining Rm, Kit-Table Space, Gourmet",FALSE,3,"Forced Air, Zoned, Central, Programmable Thermostat, Humidifier",FALSE,,90605,10282,,Detached,"Garage, Drvwy/Off Str, DW - Circular, Garage Door Opener"
MC8072455,CHEVY CHASE,MD,4836,20815,2299000,2499999,2100000,CHEVY CHASE,FARMINGTON,SOLD,4/17/2014,343,343,5,1,4,5,,Central Air Conditioning,"Fam Rm Off Kit, Gourmet, Kit-Breakfast Bar, Kit-Island, Kit-Table Space, Sep Dining Rm, Eat-In Kitchen",FALSE,1,Forced Air,FALSE,,28319,0,,Detached,"Garage, Private 11+ Spaces, Garage Door Opener"
MC8217281,CHEVY CHASE,MD,3424,20815,2299000,2299000,2099000,CHEVY CHASE VILLAGE,CHEVY CHASE SEC 1-A,SOLD,2/28/2014,64,64,6,1,5,5,,Central Air Conditioning,"Breakfast Room, Butlers Pantry, Gourmet, Kit-Breakfast Bar, Kit-Island, Kit-Table Space, Sep Dining Rm, Breakfast nook",FALSE,2,Forced Air,FALSE,,8750,4600,,Detached,Drvwy/Off Str
MC8003872,POTOMAC,MD,1152,20854,2295000,2295000,1900000,DARNESTOWN OUTSIDE,DARNESTOWN OUTSIDE,SOLD,3/17/2014,338,338,7,2,5,5,,"Central Air Conditioning, Zoned","Breakfast Room, Fam Rm Off Kit, Kit-Breakfast Bar, Kit-Island, Sep Dining Rm, Breakfast nook",FALSE,3,"Hydronic Radiant Floors, Radiator",FALSE,,130244,0,,Detached,Garage
MC8308756,BETHESDA,MD,6277,20817,2295000,2295000,2148000,ENGLISH VILLAGE,ENGLISH VILLAGE,SOLD,5/6/2014,15,15,6,1,5,6,,"Central Air Conditioning, Zoned","Kit-Island, Kit-Breakfast Bar, Gourmet, Fam Rm Off Kit, Butlers Pantry, Eat-In Kitchen",FALSE,4,"Programmable Thermostat, Forced Air, Zoned",FALSE,,11540,0,,Detached,Garage
MC8312620,BETHESDA,MD,5436,20817,2295000,2295000,2185000,WILSON KNOLLS,WILSON KNOLLS,SOLD,6/30/2014,32,32,6,1,5,6,,"Central Air Conditioning, Zoned","Breakfast Room, Fam Rm Off Kit, Gourmet, Kit-Breakfast Bar, Kit-Island, Liv-Din Combo",FALSE,1,"Forced Air, Zoned",FALSE,,28570,4800,,Detached,Carport
MC8331986,CHEVY CHASE,MD,5310,20815,2295000,2295000,2262000,WEST CHEVY CHASE,WEST CHEVY CHASE,SOLD,4/28/2014,0,0,6,1,5,5,,Central Air Conditioning,"Breakfast Room, Fam Rm Off Kit, Gourmet, Kit-Breakfast Bar, Sep Dining Rm",FALSE,2,"Forced Air, Zoned",FALSE,,9389,0,,Detached,Garage
MC8024161,POOLESVILLE,MD,8986,20837,2250000,2900000,1850000,POOLESVILLE OUTSIDE,POOLESVILLE OUTSIDE,SOLD,3/27/2014,363,363,8,2,6,5,,Zoned,"Breakfast Room, Butlers Pantry, Gourmet, Kit-Island, Sep Dining Rm",FALSE,7,"Forced Air, Zoned",FALSE,,409464,10680,,Detached,"DW - Circular, Garage"
MC8192004,CHEVY CHASE,MD,0,20815,2195000,2195000,1960000,SOMERSET HEIGHTS,SOMERSET HEIGHTS,SOLD,3/19/2014,62,62,5,0,5,6,,"Central Air Conditioning, Zoned","Kit-Island, Kit-Table Space, Liv-Din Combo",FALSE,1,"Heat Pump(s), Zoned",FALSE,,8276,0,,Detached,"Drvwy/Off Str, Garage"
MC8222724,BETHESDA,MD,4015,20817,2195000,2195000,2100000,WESTERN BETHESDA,POTOMAC OUTSIDE,SOLD,1/17/2014,52,663,9,2,7,7,,"Ceiling Fan(s), Central Air Conditioning, Programmable Thermostat, Zoned","Breakfast Room, Butlers Pantry, Fam Rm Off Kit, Gourmet, Kit-Breakfast Bar, Kit-Island, Sep Dining Rm",FALSE,6,"Electric Air Filter, Forced Air, Zoned",FALSE,,43560,14220,,Detached,"Drvwy/Off Str, DW - Circular, Garage, Garage Door Opener, Additional Storage Area"
MC8272471,CHEVY CHASE,MD,5327,20815,2195000,2195000,2175000,WEST CHEVY CHASE,WEST CHEVY CHASE,SOLD,5/15/2014,26,188,6,1,5,6,,"Ceiling Fan(s), Central Air Conditioning, Zoned","Fam Rm Off Kit, Gourmet, Butlers Pantry, Kit-Island, Sep Dining Rm, Breakfast nook, Eat-In Kitchen",FALSE,2,"Forced Air, Zoned",FALSE,,7614,6300,,Detached,Garage
MC8202289,POTOMAC,MD,4723,20854,2195000,2195000,1999000,POTOMAC VILLAGE,POTOMAC VILLAGE,SOLD,3/12/2014,47,47,6,1,5,7,,"Central Air Conditioning, Programmable Thermostat, Zoned","Breakfast Room, Butlers Pantry, Fam Rm Off Kit, Gourmet, Kit-Breakfast Bar, Kit-Island, Sep Dining Rm",FALSE,2,"Forced Air, Programmable Thermostat, Zoned, Heat Pump(s)",FALSE,,87120,7887,,Detached,"Garage, DW - Circular"
MC8199563,BETHESDA,MD,3924,20817,2150000,2285000,2075000,AVENEL,AVENEL,SOLD,4/11/2014,161,280,7,2,5,6,,"Central Air Conditioning, Zoned","Breakfast Room, Gourmet, Fam Rm Off Kit, Kit-Breakfast Bar, Kit-Island, Sep Dining Rm, Eat-In Kitchen",FALSE,3,Forced Air,TRUE,176,92347,7446,,Detached,"Garage, Drvwy/Off Str"
MC8225364,BETHESDA,MD,3931,20817,1999900,1999990,1935000,POTOMAC OUTSIDE,POTOMAC OUTSIDE,SOLD,2/18/2014,25,25,9,3,6,6,,"Central Air Conditioning, Zoned","Fam Rm Off Kit, Gourmet, Kit-Breakfast Bar, Kit-Island, Kit-Table Space, Sep Dining Rm",FALSE,5,"Forced Air, Zoned",FALSE,,87120,0,,Detached,Garage
MC8186586,BETHESDA,MD,6226,20817,1999000,1999000,1971243,PINEVIEW,PINEVIEW,SOLD,1/3/2014,25,229,6,1,5,6,,"Ceiling Fan(s), Central Air Conditioning, Zoned","Breakfast Room, Fam Rm Off Kit, Gourmet, Kit-Breakfast Bar, Kit-Family Combo, Kit-Island, Kit-Table Space, Sep Dining Rm, Eat-In Kitchen",FALSE,2,"Forced Air, Zoned",FALSE,,12086,0,,Detached,Garage
MC8219982,BETHESDA,MD,2959,20817,1995000,2099000,1925000,BURNING TREE VALLEY,BURNING TREE VALLEY,SOLD,3/19/2014,97,97,6,1,5,5,,Central Air Conditioning,"Gourmet, Kit-Breakfast Bar, Fam Rm Off Kit, Breakfast Room, Butlers Pantry, Sep Dining Rm",FALSE,6,Forced Air,FALSE,,29071,0,,Detached,"Garage, Brick Driveway"
MC8220768,BETHESDA,MD,1144,20814,1995000,1995000,1995000,GREENWICH FOREST,GREENWICH FOREST,SOLD,1/31/2014,8,8,6,1,5,6,,"Central Air Conditioning, Ceiling Fan(s)","Gourmet, Fam Rm Off Kit, Breakfast Room, Kit-Island, Sep Dining Rm, Eat-In Kitchen",FALSE,2,Forced Air,FALSE,,9659,0,,Detached,Garage
MC8282141,CHEVY CHASE,MD,4229,20815,1995000,1995000,1844500,CHEVY CHASE VILLAGE,CHEVY CHASE SEC 2,SOLD,6/6/2014,7,7,5,1,4,4,,Central Air Conditioning,"Galley Kitchen, Gourmet, Kit-Breakfast Bar, Kit-Island, Kit-Table Space, Sep Dining Rm, Eat-In Kitchen",FALSE,2,"Baseboard, Radiator, Zoned",FALSE,,12600,0,,Detached,Garage
MC8292190,CHEVY CHASE,MD,5743,20815,1995000,1995000,1900000,CHEVY CHASE / VILLAGE PARK,CHEVY CHASE COMMONS,SOLD,5/27/2014,10,10,7,2,5,6,,Central Air Conditioning,"Breakfast Room, Butlers Pantry, Fam Rm Off Kit, Gourmet, Kit-Breakfast Bar, Kit-Dining Combo, Kit-Family Combo, Kit-Island, Kit-Table Space",FALSE,3,Forced Air,TRUE,1688,19057,0,,Detached,"Garage, Paved Driveway, Faces Front, Garage Door Opener, Additional Storage Area"
MC8316137,CHEVY CHASE,MD,6602,20815,1995000,1995000,1976500,KENWOOD,KENWOOD,SOLD,5/1/2014,3,3,5,1,4,5,,Central Air Conditioning,"Breakfast Room, Sep Dining Rm",FALSE,3,Forced Air,FALSE,,15996,0,,Detached,"Garage, Drvwy/Off Str, Paved Driveway"
MC9003503,BETHESDA,MD,2449,20816,1995000,1995000,1995000,SUMNER,SUMNER,SOLD,1/3/2014,20,20,6,1,5,6,,"Ceiling Fan(s), Central Air Conditioning, Zoned","2nd Kitchen, Butlers Pantry, Fam Rm Off Kit, Gourmet, Kit-Country, Kit-Island, Kit-Table Space, Sep Dining Rm",FALSE,1,"Forced Air, Zoned",FALSE,,9002,0,,Detached,Garage
MC8293928,BETHESDA,MD,6087,20814,1989000,1989000,1750000,LIONSGATE AT WOODMONT CO,LIONSGATE AT WOODMONT CO,SOLD,5/19/2014,46,46,3,1,2,2,1304.08,Heat Pump(s),"Gourmet, Kit-Island, Breakfast nook, Sep Dining Rm, Liv-Din Combo, Kit-Breakfast Bar",FALSE,0,Heat Pump(s),FALSE,,,2025,,Hi-Rise 9+ Floors,"Assigned, Garage"
MC8001291,BETHESDA,MD,2406,20814,1970000,1970000,1970000,BATTERY PARK,BATTERY PARK,SOLD,3/8/2014,33,33,5,1,4,6,,Central Air Conditioning,Other,FALSE,2,Forced Air,FALSE,,10764,0,,Detached,Garage
MC8174064,POTOMAC,MD,1456,20854,1949000,2049000,1900000,ESTATES AT GREENBRIAR PRESERVE,ESTATES AT GREENBRIAR PR,SOLD,3/7/2014,130,130,6,1,5,5,,"Central Air Conditioning, Zoned","Breakfast Room, Gourmet, Kit-Island, Sep Dining Rm",FALSE,2,"Forced Air, Zoned",TRUE,256,23335,8079,,Detached,Garage
MC8323291,BETHESDA,MD,3827,20817,1949000,1949000,1885000,BRADMOOR,BRADMOOR,SOLD,6/2/2014,22,22,6,1,5,6,,"Central Air Conditioning, Programmable Thermostat, Zoned","Butlers Pantry, Fam Rm Off Kit, Gourmet, Sep Dining Rm, Eat-In Kitchen",FALSE,3,"Zoned, Programmable Thermostat, Forced Air",FALSE,,9833,0,,Detached,"Garage Door Opener, Concrete Driveway, Garage"
MC8292505,BETHESDA,MD,6059,20817,1945000,1945000,1915000,KENWOOD PARK,KENWOOD PARK,SOLD,4/11/2014,5,5,6,1,5,5,,"Central Air Conditioning, Zoned","Breakfast Room, Fam Rm Off Kit, Gourmet, Kit-Breakfast Bar, Kit-Island, Sep Dining Rm",FALSE,1,"Central, Forced Air, Zoned",FALSE,,10496,0,,Detached,Garage
MC8373745,ROCKVILLE,MD,3744,20852,1900000,1900000,1900000,LUXMANOR,OLD GEORGETOWN ESTS,SOLD,6/10/2014,0,0,5,1,4,5,,Central Air Conditioning,"Gourmet, Kit-Island, Kit-Table Space, Breakfast Room, Butlers Pantry",FALSE,1,"Forced Air, Zoned",FALSE,,20011,5993,,Detached,Garage
MC8297123,BETHESDA,MD,5448,20817,1899900,1899900,1900000,WILSON KNOLLS,WILSON KNOLLS,SOLD,5/12/2014,18,18,7,1,6,6,,"Zoned, Central Air Conditioning","Breakfast Room, Kit-Island, Gourmet, Fam Rm Off Kit, Sep Dining Rm",FALSE,2,"Forced Air, Zoned",FALSE,,10262,0,,Detached,Garage
MC8178203,BETHESDA,MD,6905,20817,1895000,1995000,1850000,POTOMAC OUTSIDE,POTOMAC OUTSIDE,SOLD,4/30/2014,177,177,7,2,5,5,,"Ceiling Fan(s), Central Air Conditioning, Programmable Thermostat, Zoned","Breakfast Room, Fam Rm Off Kit, Gourmet, Kit-Breakfast Bar, Kit-Island, Sep Dining Rm",FALSE,3,"Forced Air, Zoned",FALSE,,89734,0,,Detached,"DW - Circular, Garage"
MC8203846,BETHESDA,MD,3054,20817,1895000,1895000,1530000,BRADLEY HILLS GROVE,BRADLEY HILLS GROVE,SOLD,5/14/2014,124,124,5,1,4,3,,Central Air Conditioning,"Breakfast Room, Gourmet, Kit-Island, Kit-Table Space, Sep Dining Rm",FALSE,1,Forced Air,FALSE,,29606,0,,Detached,"Covered Parking, Garage"
MC8228899,BETHESDA,MD,3919,20814,1895000,1895000,1600000,GOODWILL,GOODWILL,SOLD,4/11/2014,116,116,5,1,4,4,,Central Air Conditioning,"Fam Rm Off Kit, Breakfast Room, Gourmet, Sep Dining Rm, Butlers Pantry, Kit-Breakfast Bar",FALSE,2,Forced Air,TRUE,325,8900,6182,End,Townhouse,"Garage, Drvwy/Off Str"
MC8270863,CHEVY CHASE,MD,5343,20815,1895000,1895000,1812500,CHEVY CHASE TERRACE,CHEVY CHASE TERRACE,SOLD,2/25/2014,0,102,5,2,3,4,,"Central Air Conditioning, Zoned","Breakfast Room, Gourmet, Fam Rm Off Kit, Kit-Table Space, Sep Dining Rm, Eat-In Kitchen",FALSE,2,"Baseboard, Radiator, Zoned",FALSE,,12409,0,,Detached,"Drvwy/Off Str, Paved Driveway, Street, Concrete Driveway"
MC8154618,POTOMAC,MD,4631,20854,1890000,2195000,1890000,BRADLEY FARMS,BRADLEY FARMS,SOLD,2/14/2014,124,271,10,5,5,6,,"Central Air Conditioning, Attic Fan, Ceiling Fan(s), ENERGY STAR Cooling System, Heat Pump(s), Programmable Thermostat, Zoned","Breakfast nook, Kit-Island, Sep Dining Rm, Eat-In Kitchen, Kit-Table Space, Gourmet, Kit-Country",FALSE,4,"Forced Air, Heat Pump(s), Programmable Thermostat, Humidifier, ENERGY STAR Heating System",FALSE,,128502,0,,Detached,"Garage, Garage Door Opener, Asphalt Driveway, Faces Side, DW - Circular, Private 11+ Spaces"
