ML#,City,State,Zip 4,Zip Code,List Price,Original List Price,Close Price,Advertised Subdivision,Legal Subdivision,Status,Close Date,DOMM,DOMP,Baths All,Baths Half,Baths Full,Bedrooms,Condo Coop Fee,Cooling,Dining Kitchen,Farm,Fireplaces,Heating,HOA,HOA Fee,Lot Sqft,Total Square Footage,Townhouse Type,Type,Parking
MC8464775,SILVER SPRING,MD,1102,20901,409900,424900,399900,NORTHWOOD PARK VIEW,NORTHWOOD PARK VIEW,SOLD,10/28/2014,6,19,2,0,2,3,,"Ceiling Fan(s), Central Air Conditioning","Gourmet, Kit-Dining Combo",FALSE,0,Forced Air,FALSE,,6688,1910,,Detached,"Drvwy/Off Str, Free"
MC8323886,ROCKVILLE,MD,2120,20853,409500,449500,412000,BEL PRE WOODS,BEL PRE WOODS,SOLD,10/20/2014,135,135,3,1,2,5,,Central Air Conditioning,"Kit-Table Space, Sep Dining Rm",FALSE,1,Forced Air,FALSE,,9497,0,,Detached,Drvwy/Off Str
MC8330263,SILVER SPRING,MD,1504,20904,409000,418000,409000,FAIRVIEW ESTATES,FAIRVIEW ESTATES,SOLD,8/7/2014,46,46,5,2,3,5,,"Central Air Conditioning, Ceiling Fan(s)","Sep Dining Rm, Kit-Island, Eat-In Kitchen, Fam Rm Off Kit, Breakfast nook, Kit-Table Space",FALSE,1,Forced Air,FALSE,0,9750,2730,,Detached,Drvwy/Off Str
MC8330325,GERMANTOWN,MD,2156,20874,409000,409000,395000,FOUNTAIN HILLS,FOUNTAIN HILLS,SOLD,6/11/2014,12,12,4,1,3,4,,Central Air Conditioning,"Kit-Island, Kit-Table Space, Sep Dining Rm, Kit-Family Combo, Kit-Breakfast Bar, Gourmet, Fam Rm Off Kit",FALSE,0,Forced Air,TRUE,76,2000,2440,End,Townhouse,Garage
MC8358315,ROCKVILLE,MD,1104,20852,409000,476000,400000,HUNGERFORD,HUNGERFORD,SOLD,8/29/2014,67,67,2,0,2,4,,"Central Air Conditioning, Window Unit(s)","Kit-Country, Kit-Table Space",FALSE,1,Forced Air,FALSE,,8573,0,,Detached,"Drvwy/Off Str, Asphalt Driveway, Street, Paved Driveway"
MC8370260,GAITHERSBURG,MD,1784,20879,409000,424000,415000,FLOWER HILL,FLOWER HILL,SOLD,9/30/2014,68,68,3,1,2,4,,Central Air Conditioning,"Fam Rm Off Kit, Kit-Table Space, Sep Dining Rm, Eat-In Kitchen",FALSE,1,Forced Air,TRUE,519.65,15596,2868,,Detached,"Drvwy/Off Str, Paved Driveway, Faces Front, Garage Door Opener, Garage"
MC8372068,ROCKVILLE,MD,5404,20852,409000,409000,417000,TUCKERMAN STATION CODM,TUCKERMAN STATION CODM,SOLD,7/22/2014,11,11,2,0,2,2,315,Central Air Conditioning,"Dining ""L"", Kit-Table Space, Liv-Din Combo",FALSE,1,Heat Pump(s),TRUE,0,,1340,,Garden 1-4 Floors,"Assigned, Free"
MC8419840,GERMANTOWN,MD,,20876,409000,409000,385000,ORCHARD RUN CODM,ORCHARD RUN CODM,SOLD,9/8/2014,9,9,4,2,2,3,160,Central Air Conditioning,Gourmet,FALSE,1,Central,TRUE,0,,2950,Interior,Townhouse,Basement Garage
MC8431125,ROCKVILLE,MD,2358,20853,409000,429000,397000,MANOR WOODS,MANOR WOODS,SOLD,10/24/2014,33,33,3,0,3,4,,Central Air Conditioning,Liv-Din Combo,FALSE,1,Forced Air,FALSE,,9000,0,,Detached,"Street, Paved Driveway"
MC8339737,MONTGOMERY VILLAGE,MD,4922,20886,408000,408000,395000,THE DOWNS - MONTG VILL,THE DOWNS - MONTG VILL,SOLD,6/17/2014,13,13,4,2,2,3,,Central Air Conditioning,Kit-Table Space,FALSE,1,Forced Air,TRUE,285.77,10430,0,,Detached,Garage
